URL,Value,Matched
https://subs-production.s3.us-west-2.amazonaws.com/1726162297584,1474,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162309162,15546,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162314344,2562,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162316478,1541,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162302101,6637,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162318722,1606,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162320803,10113,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162349829,4551,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162355515,13026,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162323284,1028,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162327745,1508,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162339058,1953,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162351940,6506,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162335404,16039,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162342441,795,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162344178,3799,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162357992,502,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162346119,3764,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162378901,13000,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162380739,9960,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162367998,5388,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162374564,2173,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162383006,3220,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162388976,9123,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162370173,1812,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162384855,4047,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162392798,1458,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162394566,1935,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162405587,6277,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162403614,42270,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162386975,773,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162390987,1377,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162426482,3091,True
https://subs-production.s3.us-west-2.amazonaws.com/1726274144598,3461,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274156814,1775,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274164060,2195,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274167679,848,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274134726,1062,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274148278,761,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274181503,2092,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274197910,2881,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274201672,4331,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274217487,1879,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274231556,1337,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274237566,1198,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274246337,1138,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274270798,110,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274275043,1552,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274224516,5705,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274259379,3175,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274266838,1654,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274291791,2510,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274317384,6357,True
https://subs-production.s3.us-west-2.amazonaws.com/1726274330877,7649,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274338036,7819,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274279715,1706,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274295673,3274,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274299739,1271,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274303721,2721,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274313728,1432,True
https://subs-production.s3.us-west-2.amazonaws.com/1726274255330,3329,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274352355,1207,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274367814,3797,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274371992,7301,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274392229,4475,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274284152,1824,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274409072,3696,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274424680,3022,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274448509,3194,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274483564,792,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274498534,1645,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274528063,4618,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274287709,2680,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274309278,3074,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274322046,4305,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274379853,5906,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274420911,3009,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274443728,5046,False
https://subs-production.s3.us-west-2.amazonaws.com/1726274452676,1351,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162416906,3204,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162424542,15348,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162418518,11697,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162420525,5275,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162430635,16667,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162430992,10740,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162434935,3519,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162435973,6433,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162437888,19891,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162438639,2942,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162443465,70132,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162391834,17665,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162423853,5089,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162424268,11368,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162418620,926,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162418747,45186,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162434552,6357,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162403053,8417,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162420087,14852,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162431737,23018,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162432262,21534,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162433443,13068,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162439354,31057,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162440814,3112,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162444910,4957,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162445324,3294,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162446194,1844,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162427900,420,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162429207,37462,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162430115,707,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162430486,17046,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162426655,9888,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162428444,20335,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162429673,27568,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162416704,1702,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162417263,14036,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162393264,5175,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162387474,34304,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162404691,1100,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162405958,15983,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162407484,17857,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162407493,6000,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162409092,5578,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162410482,16264,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162411855,6399,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162413201,7998,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162414510,10916,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162414552,3361,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162415903,2051,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162425567,5177,True
https://subs-production.s3.us-west-2.amazonaws.com/1726162425640,14104,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162406045,14941,False
https://subs-production.s3.us-west-2.amazonaws.com/1726162407110,2076,True
